"","Species","Block","Sex","Year","Quota","Adult.Body.Mass.Kg","quota_weight"
"259","Buffalo","Ngamo & Sikumi","Female",2003,4,646.33299,2585.33196
"260","Buffalo","Matetsi 6","Male",2017,14,646.33299,9048.66186
"261","Buffalo","Ngamo & Sikumi","Female",2005,8,646.33299,5170.66392
"262","Buffalo","Matetsi 1","Female",2012,0,646.33299,0
"263","Buffalo","Matetsi 2","Female",2003,NA,646.33299,NA
"264","Buffalo","Matetsi 6","Female",2010,3,646.33299,1938.99897
"265","Buffalo","Matetsi 2","Female",2008,3,646.33299,1938.99897
"266","Buffalo","Deka Tail","Female",2013,0,646.33299,0
"267","Buffalo","Deka Tail","Female",2014,0,646.33299,0
"268","Buffalo","Matetsi 3","Male",2014,12,646.33299,7755.99588
"269","Buffalo","Matetsi 1","Female",2016,0,646.33299,0
"270","Buffalo","Matetsi 3","Female",2003,NA,646.33299,NA
"271","Buffalo","Ngamo & Sikumi","Male",2013,20,646.33299,12926.6598
"272","Buffalo","Hwange 1","Female",2018,0,646.33299,0
"273","Buffalo","Matetsi 4","Male",2001,NA,646.33299,NA
"274","Buffalo","Fuller","Female",2017,0,646.33299,0
"275","Buffalo","Matetsi 1","Male",2002,16,646.33299,10341.32784
"276","Buffalo","Matetsi 4","Male",2006,14,646.33299,9048.66186
"277","Buffalo","Matetsi 1","Male",2005,16,646.33299,10341.32784
"278","Buffalo","Matetsi 3","Female",2001,NA,646.33299,NA
"279","Buffalo","Matetsi 3","Female",2000,NA,646.33299,NA
"280","Buffalo","Deka Pool","Female",2001,NA,646.33299,NA
"281","Buffalo","Matetsi 1","Female",2001,5,646.33299,3231.66495
"282","Buffalo","Matetsi 3","Female",2002,NA,646.33299,NA
"283","Buffalo","Ngamo & Sikumi","Female",2000,3,646.33299,1938.99897
"284","Buffalo","Hwange 2","Female",2016,0,646.33299,0
"285","Buffalo","Matetsi 6","Male",2015,14,646.33299,9048.66186
"286","Buffalo","Matetsi 6","Male",2016,14,646.33299,9048.66186
"287","Buffalo","Fuller","Male",2012,6,646.33299,3877.99794
"288","Buffalo","Fuller","Male",2013,6,646.33299,3877.99794
"289","Buffalo","Matetsi 6","Male",2009,14,646.33299,9048.66186
"290","Buffalo","Hwange 2","Female",2014,0,646.33299,0
"291","Buffalo","Deka Pool","Female",2018,0,646.33299,0
"292","Buffalo","Matetsi 3","Female",2018,0,646.33299,0
"293","Buffalo","Matetsi 3","Female",2016,0,646.33299,0
"294","Buffalo","Matetsi 2","Female",2007,3,646.33299,1938.99897
"295","Buffalo","Deka Tail","Male",2017,6,646.33299,3877.99794
"296","Buffalo","Fuller","Female",2013,0,646.33299,0
"297","Buffalo","Ngamo & Sikumi","Female",2013,8,646.33299,5170.66392
"298","Buffalo","Hwange 1","Female",2017,0,646.33299,0
"299","Buffalo","Matetsi 4","Female",2018,0,646.33299,0
"300","Buffalo","Matetsi 4","Female",2004,NA,646.33299,NA
"301","Buffalo","Matetsi 6","Male",2018,14,646.33299,9048.66186
"302","Buffalo","Ngamo & Sikumi","Female",2009,8,646.33299,5170.66392
"303","Buffalo","Kazuma","Male",2018,15,646.33299,9694.99485
"304","Buffalo","Matetsi 2","Female",2004,NA,646.33299,NA
"305","Buffalo","Deka Tail","Female",2010,4,646.33299,2585.33196
"306","Buffalo","Deka Tail","Female",2011,0,646.33299,0
"307","Buffalo","Ngamo & Sikumi","Male",2018,18,646.33299,11633.99382
"308","Buffalo","Matetsi 3","Male",2012,12,646.33299,7755.99588
"309","Buffalo","Matetsi 1","Female",2000,3,646.33299,1938.99897
"310","Buffalo","Matetsi 2","Male",2012,10,646.33299,6463.3299
"311","Buffalo","Matetsi 2","Male",2013,12,646.33299,7755.99588
"312","Buffalo","Matetsi 4","Female",2002,NA,646.33299,NA
"313","Buffalo","Matetsi 5","Male",2007,13,646.33299,8402.32887
"314","Buffalo","Hwange 1","Female",2016,0,646.33299,0
"315","Buffalo","Matetsi 4","Male",2000,NA,646.33299,NA
"316","Buffalo","Matetsi 2","Female",2013,0,646.33299,0
"317","Buffalo","Matetsi 1","Male",2004,16,646.33299,10341.32784
"318","Buffalo","Ngamo & Sikumi","Male",2016,12,646.33299,7755.99588
"319","Buffalo","Ngamo & Sikumi","Male",2017,18,646.33299,11633.99382
