"","year","country","land_use_tenure","lu_detail","lc_class","description","area_km2"
"2687",2013,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"2688",1997,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",36.59090688
"2689",2006,"ZW","Mixed (Private)","Wildlife","60","Woodland",0.17892864
"2690",1997,"ZW","Wildlife (State)","Wildlife","60","Woodland",250.14223872
"2691",2013,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",225.27115776
"2692",2007,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"2693",1993,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"2694",1995,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"2695",2006,"ZW","Forest (State)","Forestry","60","Woodland",63.16180992
"2696",1993,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",15.74572032
"2697",1997,"ZW","Forest (State)","Forestry","60","Woodland",117.91397376
"2698",2016,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"2699",2006,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
"2700",2007,"ZW","Forest (State)","Forestry","60","Woodland",0.08946432
"2701",2004,"BW","Forest (State)","Forestry","60","Woodland",0.17892864
"2702",2010,"ZW","Wildlife (Communal)","Wildlife","60","Woodland",196.64257536
"2703",1993,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",19.14536448
"2704",1992,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
"2705",2000,"ZW","Wildlife (Private)","Wildlife","60","Woodland",10.02000384
"2706",2002,"ZW","Mixed (Private)","Arable/pastoral/built/mining","60","Woodland",113.6196864
"2707",2003,"ZW","Forest (State)","Forestry","60","Woodland",124.44486912
"2708",1992,"ZW","Wildlife (Private)","Wildlife","60","Woodland",6.97821696
"2709",2007,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"2710",2012,"ZW","Forest (State)","Forestry","60","Woodland",0.08946432
"2711",2017,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",225.0027648
"2712",2006,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",16.19304192
"2713",2012,"ZW","Mixed (Private)","Mining/pastoral/bush/built","60","Woodland",18.16125696
"2714",1997,"BW","Commercial Agriculture (Private)","Commercial Agriculture","60","Woodland",84.63324672
"2715",1999,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",19.14536448
"2716",2017,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
"2717",2003,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",19.05590016
"2718",2008,"ZW","Forest (State)","Forestry","60","Woodland",0.08946432
"2719",2005,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",16.19304192
"2720",2002,"BW","Wildlife (State)","Wildlife","60","Woodland",0.08946432
"2721",1993,"BW","Commercial Agriculture (Private)","Commercial Agriculture","60","Woodland",83.91753216
"2722",2001,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"2723",2001,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
"2724",1999,"ZW","Mixed (Private)","Wildlife","60","Woodland",0.17892864
"2725",1996,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"2726",2013,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"2727",1999,"ZW","Wildlife (Private)","Wildlife","60","Woodland",8.85696768
"2728",1998,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"2729",1994,"BW","Mixed (Private)","Arable/pastoral/built","60","Woodland",397.13211648
"2730",1996,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",13.95643392
"2731",1993,"ZW","Forest (State)","Forestry","60","Woodland",0.17892864
"2732",1998,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",19.14536448
"2733",2002,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"2734",1995,"ZW","Wildlife (State)","Wildlife","60","Woodland",92.1482496
"2735",2006,"ZW","Wildlife (Communal)","Wildlife","60","Woodland",181.07578368
"2736",1992,"ZW","Forest (State)","Forestry","60","Woodland",0.17892864
